"フィールド名/fieldName","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","表示回数0回のレコード取得指定可否/Supports Zero Impressions","組合せ不可フィールド/Not compatible fields"
"CAMPAIGN_ID","キャンペーンID","CampaignID","campaignID","LONG","true",
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING","true",
"CAMPAIGN_DISTRIBUTION_SETTINGS","キャンペーン配信設定","Distribution Settings","campaignDistributionSettings","ENUM","true",
"CAMPAIGN_DISTRIBUTION_STATUS","配信状況","Distribution Status","campaignDistributionStatus","ENUM","true",
"DAILY_SPENDING_LIMIT","1日の予算","Daily Spending Limit","dailySpendingLimit","LONG","true",
"CAMPAIGN_START_DATE","開始日","Start Date","campaignStartDate","STRING","true",
"CAMPAIGN_END_DATE","終了日","End Date","campaignEndDate","STRING","true",
"COST","コスト","Cost","cost","LONG","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]"
"IMPS","インプレッション数","Impressions","impressions","LONG","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]"
"CLICKS","クリック数","Clicks","clicks","LONG","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]"
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]"
"AVG_CPC","平均CPC","Avg. CPC","averageCpc","DOUBLE","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]"
"AVG_DELIVER_RANK","平均掲載順位","Avg. Position","averagePosition","DOUBLE","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]"
"INVALID_CLICKS","無効なクリック","Invalid Clicks","invalidClicks","LONG","true","[CONVERSION_NAME, HOUR_OF_DAY, OBJECT_OF_CONVERSION_TRACKING]"
"INVALID_CLICK_RATE","無効なクリック率","Invalid Click Rate","invalidClickRate","DOUBLE","true","[CONVERSION_NAME, HOUR_OF_DAY, OBJECT_OF_CONVERSION_TRACKING]"
"IMPRESSION_SHARE","インプレッションシェア","Impression Share","impressionShare","DOUBLE","true","[CLICK_TYPE, CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]"
"EXACT_MATCH_IMPRESSION_SHARE","完全一致のインプレッションシェア","Exact Match Impression Share","exactMatchImpressionShare","DOUBLE","true","[CLICK_TYPE, CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]"
"BUDGET_LOST_IMPRESSION_SHARE","インプレッション損失率（予算）","Budget Lost Impression Share","budgetLostImpressionShare","DOUBLE","true","[CLICK_TYPE, CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]"
"QUALITY_LOST_IMPRESSION_SHARE","インプレッション損失率（掲載順位）","Quality Lost Impression Share","qualityLostImpressionShare","DOUBLE","true","[CLICK_TYPE, CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]"
"TRACKING_URL","トラッキングURL","Tracking URL","trackingURL","STRING","true",
"CUSTOM_PARAMETERS","カスタムパラメータ","Custom Parameters","customParameters","STRING","true",
"CAMPAIGN_TRACKING_ID","キャンペーントラッキングID","Campaign Tracking ID","campaignTrackingID","LONG","true",
"CONVERSIONS","コンバージョン数","Conversions","conversions","DOUBLE","true",
"CONV_RATE","コンバージョン率","Conv. Rate","convRate","DOUBLE","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]"
"CONV_VALUE","コンバージョンの価値","Conv. Value","convValue","DOUBLE","true",
"COST_PER_CONV","コスト/コンバージョン数","Cost Per Conv.","costPerConv","DOUBLE","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]"
"VALUE_PER_CONV","価値/コンバージョン数","Value Per Conv.","valuePerConv","DOUBLE","true",
"ALL_CONV","すべてのコンバージョン数","All Conv.","allConv","DOUBLE","true","[HOUR_OF_DAY]"
"ALL_CONV_RATE","すべてのコンバージョン率","All Conv. Rate","allConvRate","DOUBLE","true","[CONVERSION_NAME, HOUR_OF_DAY, OBJECT_OF_CONVERSION_TRACKING]"
"ALL_CONV_VALUE","すべてのコンバージョンの価値","All Conv. Value","allConvValue","DOUBLE","true","[HOUR_OF_DAY]"
"COST_PER_ALL_CONV","コスト/すべてのコンバージョン数","Cost Per All Conv.","costPerAllConv","DOUBLE","true","[CONVERSION_NAME, HOUR_OF_DAY, OBJECT_OF_CONVERSION_TRACKING]"
"VALUE_PER_ALL_CONV","価値/すべてのコンバージョン数","Value Per All Conv.","valuePerAllConv","DOUBLE","true","[HOUR_OF_DAY]"
"CROSS_DEVICE_CONVERSIONS","デバイスをまたいだコンバージョン数","Conversions across devices","crossDeviceConversions","DOUBLE","true","[HOUR_OF_DAY]"
"CAMPAIGN_MOBILE_BID_MODIFIER","スマートフォン入札価格調整率（％）","Smartphone Bid Adjustment (%)","mobileBidAdj","DOUBLE","true",
"CAMPAIGN_DESKTOP_BID_MODIFIER","PC入札価格調整率（％）","PC Bid Adjustment (%)","desktopBidAdj","DOUBLE","true",
"CAMPAIGN_TABLET_BID_MODIFIER","タブレット入札価格調整率（％）","Tablet Bid Adjustment (%)","tabletBidAdj","DOUBLE","true",
"NETWORK","広告掲載方式の指定","Network","network","ENUM","false",
"CLICK_TYPE","クリック種別","ClickType","clickType","ENUM","false","[BUDGET_LOST_IMPRESSION_SHARE, EXACT_MATCH_IMPRESSION_SHARE, IMPRESSION_SHARE, QUALITY_LOST_IMPRESSION_SHARE]"
"DEVICE","デバイス","Device","device","ENUM","false",
"DAY","日","Day","day","STRING","false",
"DAY_OF_WEEK","曜日","Day of week","dayOfWeek","ENUM","false",
"QUARTER","四半期","Quarter","quarter","STRING","false",
"YEAR","年間","Year","year","STRING","false",
"MONTH","毎月","Month","month","STRING","false",
"MONTH_OF_YEAR","月","Month of Year","monthofYear","ENUM","false",
"WEEK","毎週","Week","week","STRING","false",
"HOUR_OF_DAY","時間","Hour of day","hourofday","LONG","false","[ALL_CONV, ALL_CONV_RATE, ALL_CONV_VALUE, COST_PER_ALL_CONV, CROSS_DEVICE_CONVERSIONS, INVALID_CLICKS, INVALID_CLICK_RATE, VALUE_PER_ALL_CONV]"
"OBJECT_OF_CONVERSION_TRACKING","コンバージョン測定の目的","Objective of Conversion Tracking","objectiveOfConversionTracking","ENUM","false","[ALL_CONV_RATE, AVG_CPC, AVG_DELIVER_RANK, BUDGET_LOST_IMPRESSION_SHARE, CLICKS, CLICK_RATE, CONV_RATE, COST, COST_PER_ALL_CONV, COST_PER_CONV, EXACT_MATCH_IMPRESSION_SHARE, IMPRESSION_SHARE, IMPS, INVALID_CLICKS, INVALID_CLICK_RATE, QUALITY_LOST_IMPRESSION_SHARE]"
"CONVERSION_NAME","コンバージョン名","Conversion Name","conversionName","STRING","false","[ALL_CONV_RATE, AVG_CPC, AVG_DELIVER_RANK, BUDGET_LOST_IMPRESSION_SHARE, CLICKS, CLICK_RATE, CONV_RATE, COST, COST_PER_ALL_CONV, COST_PER_CONV, EXACT_MATCH_IMPRESSION_SHARE, IMPRESSION_SHARE, IMPS, INVALID_CLICKS, INVALID_CLICK_RATE, QUALITY_LOST_IMPRESSION_SHARE]"
"CAMPAIGN_TYPE","キャンペーンタイプ","Campaign type","campaignType","ENUM","true",
